"geneID"	"Function"
"82"	"Rsub_00173"	"nadA; quinolinate synthase [EC:2.5.1.72]"
"83"	"Rsub_00175"	"PK, pyk; pyruvate kinase [EC:2.7.1.40]"
"84"	"Rsub_00177"	"hypothetical_protein"
"85"	"Rsub_00179"	"hypothetical_protein"
"86"	"Rsub_00180"	"hypothetical_protein"
"87"	"Rsub_00183"	"argH, ASL; argininosuccinate lyase [EC:4.3.2.1]"
"88"	"Rsub_00185"	"MCCC1, accA1; 3-methylcrotonyl-CoA carboxylase alpha subunit [EC:6.4.1.4]"
"89"	"Rsub_00189"	"CHMP4A_B, SNF7, VPS32A_B; charged multivesicular body protein 4A/B"
"90"	"Rsub_00190"	"hypothetical_protein"
"91"	"Rsub_00191"	"hypothetical_protein"
"92"	"Rsub_00194"	"hypothetical_protein"
"93"	"Rsub_00195"	"SNRNP40, PRP8BP; Prp8 binding protein"
"94"	"Rsub_00197"	"SLC2A13, ITR; MFS transporter, SP family, solute carrier family 2 (myo-inositol transporter), member 13"
"95"	"Rsub_00199"	"SNX1_2; sorting nexin-1/2"
"96"	"Rsub_00203"	"hypothetical_protein"
"97"	"Rsub_00204"	"REXO4, REX4; RNA exonuclease 4 [EC:3.1.-.-]"
"98"	"Rsub_00205"	"hypothetical_protein"
"99"	"Rsub_00207"	"hypothetical_protein"
"100"	"Rsub_00209"	"cfa; cyclopropane-fatty-acyl-phospholipid synthase [EC:2.1.1.79]"
"101"	"Rsub_00211"	"SLC20A, PIT; solute carrier family 20 (sodium-dependent phosphate transporter)"
"102"	"Rsub_00212"	"hypothetical_protein"
"103"	"Rsub_00213"	"RP-L13, MRPL13, rplM; large subunit ribosomal protein L13"
"104"	"Rsub_00215"	"SIRT2, SIR2L2; NAD-dependent protein deacetylase sirtuin 2 [EC:2.3.1.286]"
"105"	"Rsub_00217"	"hypothetical_protein"
"106"	"Rsub_00219"	"OPLAH, OXP1, oplAH; 5-oxoprolinase (ATP-hydrolysing) [EC:3.5.2.9]"
"107"	"Rsub_00220"	"OPLAH, OXP1, oplAH; 5-oxoprolinase (ATP-hydrolysing) [EC:3.5.2.9]"
"108"	"Rsub_00226"	"SF3B4, SAP49; splicing factor 3B subunit 4"
"109"	"Rsub_00227"	"maeB; malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+) [EC:1.1.1.40]"
"110"	"Rsub_00228"	"groEL, HSPD1; chaperonin GroEL [EC:5.6.1.7]"
"111"	"Rsub_00229"	"hypothetical_protein"
"112"	"Rsub_00233"	"PARN, PNLDC1; poly(A)-specific ribonuclease [EC:3.1.13.4]"
"113"	"Rsub_00234"	"hypothetical_protein"
"114"	"Rsub_00235"	"hypothetical_protein"
"115"	"Rsub_00237"	"BARD1; BRCA1-associated RING domain protein 1"
"116"	"Rsub_00240"	"RPC8, POLR3H; DNA-directed RNA polymerase III subunit RPC8"
"117"	"Rsub_00243"	"hypothetical_protein"
"118"	"Rsub_00244"	"hypothetical_protein"
"119"	"Rsub_00245"	"PIP5K; 1-phosphatidylinositol-4-phosphate 5-kinase [EC:2.7.1.68]"
"120"	"Rsub_00246"	"ABCG2, CD338; ATP-binding cassette, subfamily G (WHITE), member 2"
"121"	"Rsub_00247"	"ULK2, ATG1; serine/threonine-protein kinase ULK2 [EC:2.7.11.1]"
"122"	"Rsub_00248"	"hypothetical_protein"
"123"	"Rsub_00251"	"hypothetical_protein"
"124"	"Rsub_00253"	"hypothetical_protein"
"125"	"Rsub_00255"	"hypothetical_protein"
"126"	"Rsub_00256"	"gpmB; 2,3-bisphosphoglycerate-dependent phosphoglycerate mutase [EC:5.4.2.11]"
"127"	"Rsub_00257"	"hypothetical_protein"
"128"	"Rsub_00258"	"hypothetical_protein"
"129"	"Rsub_00263"	"METTL6; tRNA N(3)-methylcytidine methyltransferase METTL6 [EC:2.1.1.-]"
"130"	"Rsub_00266"	"hypothetical_protein"
"131"	"Rsub_00267"	"hypothetical_protein"
"132"	"Rsub_00268"	"hypothetical_protein"
"133"	"Rsub_00269"	"RPB4, POLR2D; DNA-directed RNA polymerase II subunit RPB4"
"134"	"Rsub_00271"	"hypothetical_protein"
"135"	"Rsub_00272"	"hypothetical_protein"
"136"	"Rsub_00280"	"hypothetical_protein"
"137"	"Rsub_00284"	"hypothetical_protein"
"138"	"Rsub_00285"	"hypothetical_protein"
"139"	"Rsub_00290"	"CPSF1, CFT1; cleavage and polyadenylation specificity factor subunit 1"
"140"	"Rsub_00291"	"hypothetical_protein"
"141"	"Rsub_00294"	"SENP8, NEDP1, DEN1; sentrin-specific protease 8 [EC:3.4.22.68]"
"142"	"Rsub_00295"	"hypothetical_protein"
"143"	"Rsub_00300"	"EIF3G; translation initiation factor 3 subunit G"
"144"	"Rsub_00302"	"hypothetical_protein"
"145"	"Rsub_00304"	"STK38, NDR; serine/threonine kinase 38 [EC:2.7.11.1]"
"146"	"Rsub_00305"	"ABCG2, CD338; ATP-binding cassette, subfamily G (WHITE), member 2"
"147"	"Rsub_00307"	"hypothetical_protein"
"148"	"Rsub_00310"	"hypothetical_protein"
"149"	"Rsub_00313"	"RABGGTA; geranylgeranyl transferase type-2 subunit alpha [EC:2.5.1.60]"
"150"	"Rsub_00314"	"hypothetical_protein"
"151"	"Rsub_00316"	"E3.1.3.16; protein phosphatase [EC:3.1.3.16]"
"152"	"Rsub_00318"	"PSMB1; 20S proteasome subunit beta 6 [EC:3.4.25.1]"
"153"	"Rsub_00321"	"hypothetical_protein"
"154"	"Rsub_00323"	"SLC33A1, ACATN; MFS transporter, PAT family, solute carrier family 33 (acetyl-CoA transportor), member 1 [EC:2.3.1.-]"
"155"	"Rsub_00326"	"hypothetical_protein"
"156"	"Rsub_00327"	"hypothetical_protein"
"157"	"Rsub_00329"	"cysA; sulfate/thiosulfate transport system ATP-binding protein [EC:7.3.2.3]"
"158"	"Rsub_00331"	"LCD; L-cysteine desulfhydrase [EC:4.4.1.28]"
"159"	"Rsub_00332"	"hypothetical_protein"
"160"	"Rsub_00334"	"RTF2; replication termination factor 2"
"161"	"Rsub_00335"	"hypothetical_protein"
"162"	"Rsub_00338"	"hypothetical_protein"
"163"	"Rsub_00339"	"hypothetical_protein"
"164"	"Rsub_00342"	"hypothetical_protein"
"165"	"Rsub_00343"	"RP-S8e, RPS8; small subunit ribosomal protein S8e"
"166"	"Rsub_00347"	"hypothetical_protein"
"167"	"Rsub_00351"	"POLE4; DNA polymerase epsilon subunit 4 [EC:2.7.7.7]"
"168"	"Rsub_00352"	"hypothetical_protein"
"169"	"Rsub_00353"	"E2.4.1.173; sterol 3beta-glucosyltransferase [EC:2.4.1.173]"
"170"	"Rsub_00357"	"STX18; syntaxin 18"
"171"	"Rsub_00358"	"RP-S9, MRPS9, rpsI; small subunit ribosomal protein S9"
"172"	"Rsub_00360"	"R1; alpha-glucan, water dikinase [EC:2.7.9.4]"
"173"	"Rsub_00361"	"FDFT1; farnesyl-diphosphate farnesyltransferase [EC:2.5.1.21]"
"174"	"Rsub_00362"	"ABCG2, CD338; ATP-binding cassette, subfamily G (WHITE), member 2"
"175"	"Rsub_00363"	"hypothetical_protein"
"176"	"Rsub_00365"	"purU; formyltetrahydrofolate deformylase [EC:3.5.1.10]"
"177"	"Rsub_00367"	"CFAP69; cilia- and flagella-associated protein 69"
"178"	"Rsub_00370"	"K07034; uncharacterized protein"
"179"	"Rsub_00371"	"hypothetical_protein"
"180"	"Rsub_00377"	"MECR, NRBF1; mitochondrial enoyl-[acyl-carrier protein] reductase / trans-2-enoyl-CoA reductase [EC:1.3.1.- 1.3.1.38]"
"181"	"Rsub_00384"	"hypothetical_protein"
"182"	"Rsub_00385"	"hypothetical_protein"
"183"	"Rsub_00386"	"ATVAMP72; vesicle-associated membrane protein 72"
"184"	"Rsub_00389"	"E3.1.3.16; protein phosphatase [EC:3.1.3.16]"
"185"	"Rsub_00391"	"PRKAA, AMPK; 5'-AMP-activated protein kinase, catalytic alpha subunit [EC:2.7.11.31]"
"186"	"Rsub_00394"	"hypothetical_protein"
"187"	"Rsub_00395"	"ABCC1; ATP-binding cassette, subfamily C (CFTR/MRP), member 1 [EC:7.6.2.3]"
"188"	"Rsub_00396"	"ABCC1; ATP-binding cassette, subfamily C (CFTR/MRP), member 1 [EC:7.6.2.3]"
"189"	"Rsub_00399"	"CPK; calcium-dependent protein kinase [EC:2.7.11.1]"
"190"	"Rsub_00400"	"hypothetical_protein"
"191"	"Rsub_00401"	"hypothetical_protein"
"192"	"Rsub_00402"	"hypothetical_protein"
"193"	"Rsub_00403"	"hypothetical_protein"
"194"	"Rsub_00406"	"NEK1_4_5; serine/threonine-protein kinase Nek1/4/5 [EC:2.7.11.1]"
"195"	"Rsub_00408"	"hypothetical_protein"
"196"	"Rsub_00410"	"hypothetical_protein"
"197"	"Rsub_00414"	"hypothetical_protein"
"198"	"Rsub_00416"	"KIFC1, ncd; kinesin family member C1 (minus-end-directed kinesin ATPase) [EC:5.6.1.4]"
"199"	"Rsub_00419"	"hypothetical_protein"
"200"	"Rsub_00420"	"PSMD2, RPN1; 26S proteasome regulatory subunit N1"
"201"	"Rsub_00421"	"hypothetical_protein"
"202"	"Rsub_00422"	"hypothetical_protein"
"203"	"Rsub_00423"	"hypothetical_protein"
"204"	"Rsub_00426"	"hypothetical_protein"
"205"	"Rsub_00428"	"thrC; threonine synthase [EC:4.2.3.1]"
"206"	"Rsub_00433"	"hypothetical_protein"
"207"	"Rsub_00434"	"PEX2, PXMP3; peroxin-2"
"208"	"Rsub_00437"	"USP; UDP-sugar pyrophosphorylase [EC:2.7.7.64]"
"209"	"Rsub_00438"	"PTEN; phosphatidylinositol-3,4,5-trisphosphate 3-phosphatase and dual-specificity protein phosphatase PTEN [EC:3.1.3.16 3.1.3.48 3.1.3.67]"
"210"	"Rsub_00440"	"hypothetical_protein"
"211"	"Rsub_00441"	"PRIMPOL; DNA-directed primase/polymerase protein [EC:2.7.7.102 2.7.7.7]"
"212"	"Rsub_00443"	"hypothetical_protein"
"213"	"Rsub_00447"	"hypothetical_protein"
"214"	"Rsub_00450"	"TREH, treA, treF; alpha,alpha-trehalase [EC:3.2.1.28]"
"215"	"Rsub_00451"	"hypothetical_protein"
"216"	"Rsub_00452"	"hypothetical_protein"
"217"	"Rsub_00454"	"hypothetical_protein"
"218"	"Rsub_00456"	"hypothetical_protein"
"219"	"Rsub_00457"	"thiM; hydroxyethylthiazole kinase [EC:2.7.1.50]"
"220"	"Rsub_00460"	"NUP93, NIC96; nuclear pore complex protein Nup93"
"221"	"Rsub_00461"	"hypothetical_protein"
"222"	"Rsub_00463"	"hypothetical_protein"
"223"	"Rsub_00464"	"KDM4, JMJD2, JHDM3; [histone H3]-trimethyl-L-lysine9/36 demethylase [EC:1.14.11.66 1.14.11.69]"
"224"	"Rsub_00467"	"hypothetical_protein"
"225"	"Rsub_00469"	"ENO1_2_3, eno; enolase 1/2/3 [EC:4.2.1.11]"
"226"	"Rsub_00472"	"UNG, UDG; uracil-DNA glycosylase [EC:3.2.2.27]"
"227"	"Rsub_00473"	"hypothetical_protein"
"228"	"Rsub_00474"	"hypothetical_protein"
"229"	"Rsub_00475"	"hypothetical_protein"
"230"	"Rsub_00476"	"hypothetical_protein"
"231"	"Rsub_00478"	"hypothetical_protein"
"232"	"Rsub_00479"	"LSM3; U6 snRNA-associated Sm-like protein LSm3"
"233"	"Rsub_00482"	"hypothetical_protein"
"234"	"Rsub_00483"	"hypothetical_protein"
"235"	"Rsub_00488"	"hypothetical_protein"
"236"	"Rsub_00489"	"RP-L10, MRPL10, rplJ; large subunit ribosomal protein L10"
"237"	"Rsub_00490"	"dapB; 4-hydroxy-tetrahydrodipicolinate reductase [EC:1.17.1.8]"
"238"	"Rsub_00491"	"hypothetical_protein"
"239"	"Rsub_00492"	"SYP6; syntaxin of plants SYP6"
"240"	"Rsub_00493"	"FAD5; palmitoyl-[glycerolipid] 7-desaturase [EC:1.14.19.42]"
"241"	"Rsub_00499"	"CTSZ; cathepsin X [EC:3.4.18.1]"
"242"	"Rsub_00501"	"hypothetical_protein"
"243"	"Rsub_00503"	"bchM, chlM; magnesium-protoporphyrin O-methyltransferase [EC:2.1.1.11]"
"244"	"Rsub_00506"	"hypothetical_protein"
"245"	"Rsub_00514"	"hypothetical_protein"
"246"	"Rsub_00515"	"CAMK1; calcium/calmodulin-dependent protein kinase I [EC:2.7.11.17]"
"247"	"Rsub_00516"	"hypothetical_protein"
"248"	"Rsub_00518"	"hypothetical_protein"
"249"	"Rsub_00520"	"rocD, OAT; ornithine--oxo-acid transaminase [EC:2.6.1.13]"
"250"	"Rsub_00521"	"hypothetical_protein"
"251"	"Rsub_00524"	"hypothetical_protein"
"252"	"Rsub_00525"	"PPIL3; peptidyl-prolyl cis-trans isomerase-like 3 [EC:5.2.1.8]"
"253"	"Rsub_00526"	"hypothetical_protein"
"254"	"Rsub_00527"	"STUB1, CHIP; STIP1 homology and U-box containing protein 1 [EC:2.3.2.27]"
"255"	"Rsub_00533"	"ATXN3, MJD; Ataxin-3 [EC:3.4.22.-]"
"256"	"Rsub_00534"	"hypothetical_protein"
"257"	"Rsub_00536"	"hypothetical_protein"
"258"	"Rsub_00538"	"hypothetical_protein"
"259"	"Rsub_00541"	"RRM2; ribonucleoside-diphosphate reductase subunit M2 [EC:1.17.4.1]"
"260"	"Rsub_00542"	"hypothetical_protein"
"261"	"Rsub_00544"	"WNK, PRKWNK; WNK lysine deficient protein kinase [EC:2.7.11.1]"
"262"	"Rsub_00545"	"hypothetical_protein"
"263"	"Rsub_00548"	"RP-S7e, RPS7; small subunit ribosomal protein S7e"
"264"	"Rsub_00552"	"MPV17; protein Mpv17"
"265"	"Rsub_00554"	"RP-S17e, RPS17; small subunit ribosomal protein S17e"
"266"	"Rsub_00556"	"hypothetical_protein"
"267"	"Rsub_00559"	"hypothetical_protein"
"268"	"Rsub_00560"	"NR; nitrate reductase (NAD(P)H) [EC:1.7.1.1 1.7.1.2 1.7.1.3]"
"269"	"Rsub_00561"	"hypothetical_protein"
"270"	"Rsub_00562"	"hypothetical_protein"
"271"	"Rsub_00563"	"hypothetical_protein"
"272"	"Rsub_00565"	"hypothetical_protein"
"273"	"Rsub_00568"	"CPSF6_7; cleavage and polyadenylation specificity factor subunit 6/7"
"274"	"Rsub_00572"	"hypothetical_protein"
"275"	"Rsub_00573"	"hypothetical_protein"
"276"	"Rsub_00576"	"MAN; mannan endo-1,4-beta-mannosidase [EC:3.2.1.78]"
"277"	"Rsub_00577"	"MAN; mannan endo-1,4-beta-mannosidase [EC:3.2.1.78]"
"278"	"Rsub_00579"	"hypothetical_protein"
"279"	"Rsub_00587"	"hypothetical_protein"
"280"	"Rsub_00591"	"hypothetical_protein"
"281"	"Rsub_00600"	"hypothetical_protein"
"282"	"Rsub_00607"	"PARS, proS; prolyl-tRNA synthetase [EC:6.1.1.15]"
"283"	"Rsub_00608"	"hypothetical_protein"
"284"	"Rsub_00609"	"bglB; beta-glucosidase [EC:3.2.1.21]"
"285"	"Rsub_00610"	"NDUFS2; NADH dehydrogenase (ubiquinone) Fe-S protein 2 [EC:7.1.1.2]"
"286"	"Rsub_00612"	"GEN1, YEN1; holliday junction resolvase GEN1/YEN1 [EC:3.1.-.-]"
"287"	"Rsub_00614"	"hypothetical_protein"
"288"	"Rsub_00615"	"SETD3; protein-histidine N-methyltransferase [EC:2.1.1.85]"
"289"	"Rsub_00616"	"VCPKMT, METTL21D; protein N-lysine methyltransferase METTL21D [EC:2.1.1.-]"
"290"	"Rsub_00617"	"sufS; cysteine desulfurase / selenocysteine lyase [EC:2.8.1.7 4.4.1.16]"
"291"	"Rsub_00618"	"hypothetical_protein"
"292"	"Rsub_00619"	"TAF12; transcription initiation factor TFIID subunit 12"
"293"	"Rsub_00623"	"hypothetical_protein"
"294"	"Rsub_00625"	"hypothetical_protein"
"295"	"Rsub_00626"	"SDT1; pyrimidine and pyridine-specific 5'-nucleotidase [EC:3.1.3.-]"
"296"	"Rsub_00627"	"NCBP1, CBP80; nuclear cap-binding protein subunit 1"
"297"	"Rsub_00628"	"UTP5, WDR43; U3 small nucleolar RNA-associated protein 5"
"298"	"Rsub_00630"	"EPT1; ethanolaminephosphotransferase [EC:2.7.8.1]"
"299"	"Rsub_00633"	"SOD2; superoxide dismutase, Fe-Mn family [EC:1.15.1.1]"
"300"	"Rsub_00634"	"hypothetical_protein"
"301"	"Rsub_00636"	"ACTF; actin, other eukaryote"
"302"	"Rsub_00637"	"IPO7, RANBP7; importin-7"
"303"	"Rsub_00639"	"hypothetical_protein"
"304"	"Rsub_00640"	"PDIA6, TXNDC7; protein disulfide-isomerase A6 [EC:5.3.4.1]"
"305"	"Rsub_00642"	"hypothetical_protein"
"306"	"Rsub_00645"	"RPB3, POLR2C; DNA-directed RNA polymerase II subunit RPB3"
"307"	"Rsub_00646"	"hypothetical_protein"
"308"	"Rsub_00648"	"hypothetical_protein"
"309"	"Rsub_00649"	"ATPeF1A, ATP5A1, ATP1; F-type H+-transporting ATPase subunit alpha"
"310"	"Rsub_00651"	"GPD1; glycerol-3-phosphate dehydrogenase (NAD+) [EC:1.1.1.8]"
"311"	"Rsub_00656"	"hypothetical_protein"
"312"	"Rsub_00657"	"hypothetical_protein"
"313"	"Rsub_00663"	"DDX27, DRS1; ATP-dependent RNA helicase DDX27 [EC:5.6.2.7]"
"314"	"Rsub_00665"	"NIT2, yafV; omega-amidase [EC:3.5.1.3]"
"315"	"Rsub_00666"	"DARS2, aspS; aspartyl-tRNA synthetase [EC:6.1.1.12]"
"316"	"Rsub_00667"	"CAMK1; calcium/calmodulin-dependent protein kinase I [EC:2.7.11.17]"
"317"	"Rsub_00669"	"hypothetical_protein"
"318"	"Rsub_00670"	"hypothetical_protein"
"319"	"Rsub_00672"	"hypothetical_protein"
"320"	"Rsub_00674"	"AP4S1; AP-4 complex subunit sigma-1"
"321"	"Rsub_00675"	"TFIIB, GTF2B, SUA7, tfb; transcription initiation factor TFIIB"
"322"	"Rsub_00678"	"hypothetical_protein"
"323"	"Rsub_00681"	"hypothetical_protein"
"324"	"Rsub_00685"	"hypothetical_protein"
"325"	"Rsub_00687"	"PRKAA, AMPK; 5'-AMP-activated protein kinase, catalytic alpha subunit [EC:2.7.11.31]"
"326"	"Rsub_00689"	"ATVAMP72; vesicle-associated membrane protein 72"
"327"	"Rsub_00690"	"hypothetical_protein"
"328"	"Rsub_00691"	"ATVAMP72; vesicle-associated membrane protein 72"
"329"	"Rsub_00693"	"ATPeF1E, ATP5E, ATP15; F-type H+-transporting ATPase subunit epsilon"
"330"	"Rsub_00694"	"hypothetical_protein"
"331"	"Rsub_00695"	"RPF1; ribosome production factor 1"
"332"	"Rsub_00698"	"hypothetical_protein"
"333"	"Rsub_00705"	"hypothetical_protein"
"334"	"Rsub_00706"	"hypothetical_protein"
"335"	"Rsub_00709"	"hypothetical_protein"
"336"	"Rsub_00713"	"ERK, MAPK1_3; mitogen-activated protein kinase 1/3 [EC:2.7.11.24]"
"337"	"Rsub_00718"	"hypothetical_protein"
"338"	"Rsub_00722"	"hypothetical_protein"
"339"	"Rsub_00723"	"DHX29; ATP-dependent RNA helicase DHX29 [EC:5.6.2.6]"
"340"	"Rsub_00724"	"NUG1, GNL3; nuclear GTP-binding protein"
"341"	"Rsub_00729"	"CYP707A; (+)-abscisic acid 8'-hydroxylase [EC:1.14.14.137]"
"342"	"Rsub_00730"	"CYP707A; (+)-abscisic acid 8'-hydroxylase [EC:1.14.14.137]"
"343"	"Rsub_00731"	"hypothetical_protein"
"344"	"Rsub_00733"	"plsC; 1-acyl-sn-glycerol-3-phosphate acyltransferase [EC:2.3.1.51]"
"345"	"Rsub_00735"	"SMC2; structural maintenance of chromosome 2"
"346"	"Rsub_00736"	"hypothetical_protein"
"347"	"Rsub_00737"	"hypothetical_protein"
"348"	"Rsub_00740"	"MOB1, Mats; MOB kinase activator 1"
"349"	"Rsub_00742"	"MSH4; DNA mismatch repair protein MSH4"
"350"	"Rsub_00744"	"KIFC2_3; kinesin family member C2/C3"
"351"	"Rsub_00746"	"hypothetical_protein"
"352"	"Rsub_00755"	"hypothetical_protein"
"353"	"Rsub_00760"	"hypothetical_protein"
"354"	"Rsub_00761"	"hypothetical_protein"
"355"	"Rsub_00764"	"SNRPG, SMG; small nuclear ribonucleoprotein G"
"356"	"Rsub_00766"	"GSG2; serine/threonine-protein kinase haspin [EC:2.7.11.1]"
"357"	"Rsub_00773"	"RMT2; type IV protein arginine methyltransferase [EC:2.1.1.322]"
"358"	"Rsub_00774"	"hypothetical_protein"
"359"	"Rsub_00775"	"hypothetical_protein"
"360"	"Rsub_00780"	"hypothetical_protein"
"361"	"Rsub_00782"	"SRP43, CAO; signal recognition particle 43 kDa protein"
"362"	"Rsub_00783"	"NOP1, FBL; rRNA 2'-O-methyltransferase fibrillarin [EC:2.1.1.-]"
"363"	"Rsub_00784"	"KCS; 3-ketoacyl-CoA synthase [EC:2.3.1.199]"
"364"	"Rsub_00785"	"hypothetical_protein"
"365"	"Rsub_00787"	"hypothetical_protein"
"366"	"Rsub_00791"	"hypothetical_protein"
"367"	"Rsub_00793"	"hypothetical_protein"
"368"	"Rsub_00796"	"hypothetical_protein"
"369"	"Rsub_00798"	"hypothetical_protein"
"370"	"Rsub_00803"	"hypothetical_protein"
"371"	"Rsub_00804"	"POLE3; DNA polymerase epsilon subunit 3 [EC:2.7.7.7]"
